X,Y,Z,Distance
-0.664,-0.027,0.840,0.591
-0.661,-0.027,0.833,0.586
-0.658,-0.024,0.828,0.588
-0.652,-0.017,0.820,0.590
-0.653,-0.018,0.814,0.587
-0.648,-0.015,0.810,0.587
-0.644,-0.010,0.801,0.590
-0.640,-0.010,0.794,0.590
-0.636,-0.007,0.788,0.593
-0.611,0.016,0.742,0.588
-0.604,0.021,0.736,0.596
-0.596,0.022,0.728,0.598
-0.584,0.024,0.717,0.598
-0.578,0.029,0.708,0.603
-0.571,0.032,0.699,0.603
-0.562,0.037,0.684,0.602
-0.556,0.045,0.674,0.601
-0.552,0.045,0.673,0.595
-0.525,0.070,0.619,0.615
-0.510,0.080,0.606,0.605
-0.509,0.083,0.597,0.614
-0.502,0.092,0.583,0.606
-0.496,0.098,0.575,0.607
-0.495,0.101,0.567,0.612
-0.490,0.108,0.557,0.606
-0.484,0.111,0.554,0.607
-0.482,0.113,0.543,0.607
-0.478,0.116,0.536,0.611
-0.470,0.122,0.525,0.616
-0.472,0.119,0.521,0.619
-0.468,0.123,0.514,0.619
-0.462,0.126,0.509,0.617
-0.459,0.124,0.503,0.622
-0.454,0.127,0.496,0.618
-0.453,0.127,0.490,0.619
-0.447,0.129,0.483,0.618
-0.441,0.134,0.477,0.617
-0.440,0.133,0.473,0.619
-0.435,0.139,0.463,0.620
-0.429,0.140,0.459,0.618
-0.428,0.143,0.452,0.619
-0.422,0.148,0.445,0.621
-0.420,0.154,0.438,0.619
-0.418,0.157,0.433,0.618
-0.413,0.160,0.428,0.617
-0.409,0.165,0.422,0.617
-0.404,0.170,0.416,0.616
-0.403,0.173,0.409,0.616
-0.398,0.178,0.405,0.616
-0.395,0.181,0.398,0.614
-0.390,0.184,0.390,0.612
-0.385,0.186,0.387,0.614
-0.381,0.189,0.381,0.616
-0.375,0.189,0.375,0.608
-0.369,0.191,0.371,0.603
-0.365,0.196,0.362,0.606
-0.363,0.199,0.355,0.602
-0.357,0.201,0.349,0.600
-0.351,0.203,0.344,0.601
-0.346,0.203,0.336,0.598
-0.342,0.206,0.330,0.601
-0.338,0.209,0.324,0.595
-0.334,0.211,0.316,0.596
-0.330,0.215,0.313,0.594
-0.326,0.217,0.306,0.593
-0.320,0.221,0.299,0.593
-0.315,0.222,0.294,0.591
-0.311,0.221,0.290,0.590
-0.304,0.226,0.284,0.588
-0.300,0.227,0.282,0.587
-0.298,0.230,0.273,0.585
-0.293,0.233,0.268,0.586
-0.287,0.234,0.265,0.585
-0.284,0.237,0.257,0.584
-0.280,0.238,0.253,0.581
-0.276,0.241,0.248,0.579
-0.273,0.241,0.243,0.579
-0.270,0.245,0.239,0.573
-0.267,0.247,0.231,0.577
-0.262,0.251,0.225,0.571
-0.261,0.252,0.222,0.570
-0.258,0.256,0.216,0.567
-0.252,0.256,0.211,0.565
-0.249,0.263,0.207,0.562
-0.245,0.263,0.203,0.563
-0.240,0.266,0.198,0.562
-0.236,0.270,0.193,0.558
-0.232,0.275,0.187,0.559
-0.226,0.278,0.183,0.557
-0.223,0.277,0.178,0.553
-0.215,0.280,0.173,0.557
-0.211,0.280,0.167,0.549
-0.208,0.279,0.167,0.548
-0.205,0.280,0.161,0.553
-0.199,0.282,0.157,0.549
-0.199,0.282,0.152,0.547
-0.194,0.285,0.148,0.544
-0.192,0.287,0.143,0.542
-0.188,0.289,0.140,0.538
-0.185,0.290,0.136,0.535
-0.179,0.293,0.132,0.533
-0.176,0.291,0.129,0.532
-0.170,0.293,0.124,0.530
-0.162,0.297,0.118,0.520
-0.159,0.292,0.115,0.515
-0.152,0.295,0.112,0.513
-0.150,0.295,0.107,0.514
-0.147,0.294,0.104,0.510
-0.141,0.297,0.100,0.503
-0.138,0.298,0.095,0.505
-0.136,0.299,0.091,0.499
-0.132,0.303,0.088,0.494
-0.130,0.305,0.084,0.494
-0.131,0.304,0.084,0.494
-0.132,0.302,0.083,0.493
-0.101,0.319,0.055,0.471
-0.101,0.321,0.056,0.472
-0.099,0.323,0.055,0.467
-0.099,0.324,0.052,0.467
-0.100,0.327,0.054,0.467
-0.099,0.325,0.054,0.466
-0.101,0.326,0.055,0.463
-0.101,0.327,0.058,0.461
-0.101,0.326,0.060,0.460
-0.105,0.326,0.059,0.459
-0.106,0.326,0.060,0.458
-0.107,0.325,0.064,0.458
-0.111,0.325,0.064,0.457
-0.113,0.325,0.066,0.452
-0.115,0.324,0.067,0.455
-0.117,0.327,0.066,0.453
-0.121,0.327,0.067,0.449
-0.124,0.328,0.068,0.453
-0.124,0.328,0.069,0.451
-0.128,0.329,0.072,0.449
-0.129,0.328,0.074,0.451
-0.133,0.328,0.075,0.446
-0.134,0.326,0.076,0.448
-0.137,0.327,0.077,0.448
-0.138,0.325,0.078,0.444
-0.143,0.324,0.079,0.444
-0.141,0.323,0.083,0.446
-0.145,0.323,0.084,0.440
-0.147,0.321,0.085,0.441
-0.147,0.321,0.088,0.440
-0.153,0.321,0.087,0.436
-0.156,0.318,0.089,0.439
-0.154,0.319,0.091,0.439
-0.158,0.318,0.091,0.438
-0.163,0.315,0.094,0.437
-0.162,0.315,0.096,0.434
-0.164,0.315,0.096,0.435
-0.170,0.311,0.099,0.432
-0.169,0.308,0.104,0.431
-0.170,0.307,0.103,0.431
-0.173,0.303,0.105,0.434
-0.175,0.299,0.109,0.432
-0.173,0.299,0.108,0.433
-0.177,0.296,0.110,0.435
-0.181,0.296,0.111,0.433
-0.183,0.296,0.112,0.435
-0.186,0.295,0.113,0.435
-0.187,0.293,0.115,0.438
-0.187,0.291,0.119,0.439
-0.189,0.290,0.119,0.440
-0.190,0.287,0.123,0.443
-0.191,0.285,0.127,0.442
-0.195,0.286,0.127,0.442
-0.196,0.288,0.129,0.444
-0.198,0.284,0.131,0.442
-0.200,0.284,0.133,0.441
-0.201,0.285,0.137,0.438
-0.203,0.279,0.141,0.443
-0.208,0.281,0.142,0.437
-0.212,0.281,0.143,0.439
-0.212,0.277,0.144,0.439
-0.219,0.279,0.145,0.434
-0.222,0.280,0.145,0.436
-0.223,0.281,0.147,0.436
-0.231,0.277,0.150,0.433
-0.236,0.280,0.150,0.435
-0.236,0.275,0.152,0.436
-0.242,0.272,0.156,0.434
-0.247,0.270,0.160,0.435
-0.250,0.269,0.161,0.436
-0.254,0.268,0.164,0.436
-0.258,0.266,0.170,0.434
-0.261,0.266,0.170,0.441
-0.265,0.262,0.174,0.441
-0.267,0.261,0.178,0.442
-0.272,0.259,0.180,0.446
-0.277,0.259,0.181,0.444
-0.279,0.259,0.184,0.442
-0.283,0.254,0.189,0.449
-0.288,0.252,0.191,0.449
-0.291,0.250,0.194,0.448
-0.298,0.246,0.200,0.459
-0.306,0.243,0.202,0.458
-0.310,0.239,0.204,0.456
-0.311,0.238,0.210,0.461
-0.315,0.237,0.209,0.454
-0.325,0.234,0.214,0.459
-0.326,0.231,0.219,0.465
-0.333,0.227,0.222,0.468
-0.335,0.225,0.223,0.469
-0.340,0.224,0.228,0.472
-0.346,0.222,0.230,0.472
-0.352,0.219,0.236,0.469
-0.356,0.215,0.238,0.475
-0.361,0.212,0.242,0.483
-0.367,0.214,0.246,0.479
-0.371,0.208,0.253,0.487
-0.374,0.205,0.257,0.494
-0.379,0.204,0.259,0.501
-0.384,0.203,0.264,0.503
-0.383,0.205,0.265,0.504
-0.403,0.202,0.278,0.514
-0.410,0.203,0.282,0.518
-0.411,0.207,0.285,0.513
-0.425,0.204,0.295,0.525
-0.427,0.203,0.302,0.514
-0.427,0.201,0.306,0.510
-0.608,0.198,0.476,0.640
-0.608,0.196,0.478,0.638
-0.608,0.197,0.479,0.638
-0.614,0.194,0.483,0.641
-0.614,0.195,0.482,0.640
-0.615,0.196,0.483,0.639
-0.622,0.192,0.489,0.641
-0.620,0.194,0.489,0.645
-0.621,0.196,0.487,0.643
-0.617,0.199,0.488,0.643
-0.618,0.202,0.487,0.641
-0.621,0.204,0.488,0.641
-0.621,0.205,0.488,0.640
-0.621,0.208,0.485,0.642
-0.621,0.207,0.487,0.640
-0.633,0.208,0.493,0.645
-0.629,0.208,0.494,0.651
-0.632,0.203,0.500,0.644
-0.637,0.205,0.501,0.650
-0.636,0.204,0.505,0.649
-0.639,0.202,0.506,0.643
-0.680,0.178,0.545,0.664
-0.681,0.174,0.555,0.658
-0.711,0.155,0.587,0.675
-0.714,0.153,0.591,0.674
-0.717,0.148,0.595,0.667
-0.702,0.139,0.591,0.669
-0.700,0.141,0.587,0.673
-0.680,0.144,0.579,0.649
-0.679,0.151,0.566,0.657
-0.678,0.153,0.563,0.661
-0.656,0.159,0.549,0.647
-0.651,0.163,0.546,0.648
-0.651,0.164,0.542,0.650
-0.641,0.165,0.536,0.645
-0.639,0.164,0.538,0.647
-0.638,0.163,0.531,0.655
-0.627,0.165,0.524,0.638
-0.624,0.167,0.523,0.644
-0.623,0.167,0.513,0.652
