X,Y,Z,Distance
-0.421,-0.552,0.190,0.431
-0.421,-0.551,0.189,0.435
-0.422,-0.552,0.191,0.434
-0.423,-0.550,0.194,0.435
-0.424,-0.551,0.195,0.435
-0.425,-0.553,0.198,0.435
-0.426,-0.553,0.198,0.433
-0.423,-0.552,0.200,0.433
-0.423,-0.555,0.203,0.434
-0.422,-0.559,0.205,0.435
-0.419,-0.563,0.207,0.436
-0.421,-0.561,0.207,0.435
-0.423,-0.558,0.208,0.434
-0.421,-0.560,0.210,0.435
-0.420,-0.559,0.208,0.436
-0.420,-0.558,0.208,0.438
-0.422,-0.558,0.210,0.439
-0.421,-0.557,0.211,0.440
-0.422,-0.557,0.212,0.437
-0.422,-0.554,0.212,0.436
-0.423,-0.549,0.206,0.439
-0.423,-0.551,0.212,0.434
-0.420,-0.548,0.210,0.439
-0.423,-0.548,0.207,0.441
-0.423,-0.549,0.211,0.439
-0.420,-0.545,0.211,0.438
-0.419,-0.544,0.209,0.442
-0.420,-0.546,0.210,0.444
-0.420,-0.549,0.213,0.439
-0.417,-0.548,0.212,0.444
-0.416,-0.545,0.212,0.449
-0.416,-0.546,0.214,0.443
-0.415,-0.546,0.211,0.450
-0.416,-0.547,0.213,0.452
-0.415,-0.548,0.215,0.452
-0.416,-0.546,0.217,0.454
-0.416,-0.546,0.214,0.454
-0.416,-0.545,0.212,0.453
-0.416,-0.549,0.216,0.456
-0.418,-0.547,0.215,0.456
-0.419,-0.548,0.215,0.451
-0.418,-0.553,0.217,0.451
-0.421,-0.547,0.216,0.449
-0.423,-0.547,0.218,0.444
-0.422,-0.545,0.217,0.446
-0.422,-0.545,0.214,0.449
-0.423,-0.545,0.216,0.445
-0.421,-0.548,0.215,0.447
-0.423,-0.546,0.217,0.446
-0.420,-0.546,0.217,0.447
-0.419,-0.551,0.217,0.448
-0.421,-0.550,0.217,0.448
-0.421,-0.550,0.219,0.446
-0.420,-0.548,0.215,0.446
-0.421,-0.550,0.213,0.446
-0.418,-0.550,0.215,0.440
-0.419,-0.547,0.213,0.444
-0.420,-0.548,0.217,0.447
-0.429,-0.552,0.224,0.446
-0.429,-0.561,0.229,0.454
-0.431,-0.560,0.229,0.460
-0.430,-0.561,0.231,0.458
-0.428,-0.559,0.231,0.461
-0.427,-0.558,0.230,0.461
-0.424,-0.555,0.230,0.462
-0.418,-0.551,0.228,0.460
-0.413,-0.543,0.224,0.459
-0.412,-0.545,0.226,0.460
-0.408,-0.545,0.227,0.463
-0.409,-0.539,0.225,0.465
-0.410,-0.536,0.225,0.463
-0.411,-0.541,0.228,0.468
-0.412,-0.542,0.229,0.471
-0.414,-0.542,0.232,0.472
-0.410,-0.543,0.234,0.473
-0.412,-0.543,0.234,0.477
-0.415,-0.545,0.236,0.475
-0.412,-0.546,0.238,0.476
-0.411,-0.547,0.238,0.482
-0.413,-0.549,0.244,0.479
-0.410,-0.548,0.245,0.477
-0.410,-0.550,0.243,0.482
-0.411,-0.547,0.243,0.480
-0.410,-0.543,0.245,0.478
-0.412,-0.545,0.243,0.481
-0.412,-0.543,0.243,0.481
-0.412,-0.540,0.245,0.479
-0.415,-0.538,0.246,0.484
-0.419,-0.540,0.249,0.481
-0.421,-0.541,0.249,0.485
-0.424,-0.542,0.251,0.487
-0.460,-0.556,0.284,0.514
-0.464,-0.557,0.287,0.513
-0.465,-0.562,0.291,0.512
-0.470,-0.568,0.300,0.511
-0.473,-0.572,0.307,0.516
-0.476,-0.575,0.311,0.517
-0.482,-0.577,0.316,0.514
-0.484,-0.585,0.323,0.512
-0.484,-0.589,0.327,0.520
-0.488,-0.588,0.330,0.522
-0.492,-0.592,0.335,0.520
-0.495,-0.594,0.338,0.523
-0.500,-0.595,0.338,0.525
-0.505,-0.594,0.341,0.523
-0.509,-0.594,0.342,0.529
-0.515,-0.596,0.346,0.529
-0.519,-0.600,0.350,0.527
-0.526,-0.601,0.357,0.528
-0.531,-0.602,0.359,0.531
-0.539,-0.605,0.360,0.530
-0.545,-0.604,0.366,0.537
-0.554,-0.607,0.370,0.545
-0.559,-0.608,0.372,0.553
-0.608,-0.628,0.422,0.574
-0.614,-0.631,0.424,0.574
-0.619,-0.634,0.428,0.580
-0.624,-0.636,0.432,0.582
-0.628,-0.638,0.436,0.584
-0.641,-0.645,0.446,0.590
-0.644,-0.647,0.449,0.589
-0.648,-0.650,0.450,0.592
-0.651,-0.650,0.456,0.595
-0.652,-0.655,0.459,0.596
-0.656,-0.659,0.464,0.592
-0.658,-0.659,0.466,0.597
-0.661,-0.662,0.470,0.599
-0.666,-0.665,0.474,0.598
-0.669,-0.664,0.476,0.602
-0.673,-0.670,0.480,0.602
-0.678,-0.670,0.485,0.603
-0.682,-0.673,0.489,0.606
